PSID,Coord_X,Coord_Y,Invert_Elevation,MaxDepth
Node_61,364444.78,6928991.08,37.92,1.18
Node_60,363997.87,6928778.682,28.43,1.01
Node_59,363246.88,6928859.07,43.92,1.08
Node_58,363848.81,6928996.06,35.98,1.11
Node_57,363844.8,6928994.8,35.88,0.91
Node_56,364116.66,6928706.26,23.43,0.46
Node_55,363616.88,6928475.59,24.29,1
Node_54,363576.83,6928037.24,-0.49,1.15
Node_53,363685.58,6927980.45,2.5,0.65
Node_52,363624.25,6928118.58,2.78,1
Node_51,363694.5,6927997.59,3.24,1.01
Node_50,363793.64,6927886.36,9.23,1.08
Node_49,363696.62,6927767.69,7.71,0.45
Node_48,363675.68,6927805.24,5.13,1.15
Node_47,363532.77,6927786.2,13.76,1.05
Node_46,363436.85,6927765.2,26.58,1.2
Node_134,363697.8,6927797.06,5.41,0.67
Node_133,362978.24,6928846.15,53.98,1.04
Node_132,362993.39,6928892.68,54.04,0.78
Node_129,364485.58,6928793.22,24.36,0.4
Node_125,364479.71,6928791.07,24.35,0.42
Node_116,363212.47,6928287.91,8.44,0.62
Node_1,363749.23,6927915.28,6.72,0.94
99825,363985.88,6929156.38,43.46,0.9
99710,363997.23,6929112.54,42.11,0.99
99709,363996.81,6929112.07,42.2,0.99
98473,363733.56,6928135.53,12.64,1.01
98283,363734.77,6928118.61,11.77,1.08
98207,363968.07,6928222.81,21.25,0.89
98206,363975.04,6928251.74,21.99,1
98205,363974.36,6928252.22,21.99,1
98203,363956.57,6928172.64,20.32,0.66
98052,363960.94,6928196.85,20.21,0.94
98051,363959.24,6928193.71,19.81,0.95
98050,363959.82,6928192.95,20.35,0.95
97816,364057.98,6929129.05,43.56,1.06
97813,364057.81,6929127.89,43.57,1.11
97725,364054.91,6929121.85,43.68,0.41
97724,364055.78,6929122.8,43.57,0.51
97723,364056.74,6929122.6,43.73,1
97454,364013.03,6929102.09,41.1,0.94
97453,364013.63,6929101.6,41.15,0.94
97189,364024.51,6929046.84,39.93,0.98
97185,363885.1,6929117.86,40.22,0.82
97175,363889.67,6929106.11,39.84,0.8
97173,363889.19,6929104.53,39.82,0.8
96207,363831.55,6928354.41,12.08,0.44
96127,364009.36,6929076.69,40.13,0.96
96126,364010.43,6929075.92,40.46,0.96
95683,363590.01,6928759.63,35.42,1
95681,363580.02,6928787.36,36.78,1.02
95493,363975.7,6929068.04,39.21,0.98
95487,363969.31,6929097.25,41.2,1
94274,363948.67,6929062.36,38.43,0.98
94231,363947.28,6929061.27,38.2,1
93799,363895.85,6929049.99,37.32,1
93798,363894.52,6929050.51,37.54,1
93774,363850.93,6929042.44,37.53,0.94
93770,363851.73,6929042.04,36.94,0.94
93766,363843.12,6929033.63,36.91,0.95
93763,363843.66,6929033.05,36.74,0.94
93762,363833.86,6929019.66,36.87,0.95
93738,363822.43,6929007.94,37.09,0.91
92891,363936.05,6928266.57,19.45,0.96
92890,363935.98,6928266.2,19.31,1.02
92884,363897.35,6928275.66,17.46,1.02
92881,363884.19,6928281.62,17.79,1.05
91936,363833.88,6928295.53,11.72,1
91925,363820.43,6928316.12,10.07,1.2
91924,363819.81,6928318.23,9.99,1.2
90454,363496.62,6928354.96,24.15,0.89
90329,363570.85,6928273.59,17.37,0.68
90289,363599.26,6928255.12,16.71,0.63
902,363189.48,6928681.79,46.49,1
90197,363774.64,6928234.76,7.65,1.07
90196,363774.56,6928236.22,7.56,1.08
90195,363736.41,6928235.02,7.04,1.02
90194,363734.96,6928236.13,7.16,1.02
90193,363673.64,6928196.05,5.91,0.79
90192,363671.13,6928195.85,5.58,0.78
901,363188.12,6928714.96,46.57,1
55718,363654.34,6929205.57,42.38,1
89671,363818.58,6928252.04,9.22,1.03
89659,363911.49,6928200.49,18.64,0.96
89658,363911.95,6928201.03,18.66,0.96
