LSID,Coord_X,Coord_Y
99722,363985.88,6929156.38
99722,363991.56,6929132.37
99722,363993.13,6929127.72
99722,363996.51,6929117.2
99722,363996.81,6929112.07
99721,363986.41,6929156.5
99721,363991.98,6929132.16
99721,363993.36,6929127.99
99721,363993.44,6929127.73
99721,363996.88,6929117.12
99721,363997.23,6929112.54
99659,364013.63,6929101.6
99659,364013.41,6929104.49
99659,364010.4,6929105.72
99659,364004.27,6929107.53
99659,363997.23,6929112.54
99658,364013.03,6929102.09
99658,364013.15,6929104.3
99658,364010.15,6929105.27
99658,364004.12,6929107.16
99658,363996.81,6929112.07
99513,363665.79,6928111.81
99513,363631.89,6928082.86
99513,363609.73,6928062.77
99513,363595.13,6928050.82
98481,363733.56,6928135.53
98481,363733.1,6928130.6
98481,363732.94,6928124.64
98481,363733.43,6928122.87
98481,363734.77,6928118.61
77850,363956.95,6928750.64
77850,363954.59,6928759.61
77850,363955.1,6928765.73
77850,363955.65,6928766.11
77849,363955.65,6928766.11
77849,363967.15,6928773.47
77849,363977.78,6928780.12
77849,363984.13,6928779.61
77849,363984.64,6928779.54
77849,363993.92,6928779.77
77849,363994.18,6928779.82
77849,363995.72,6928781.32
77849,363996.08,6928781.69
77849,363996.65,6928781.87
77849,363996.97,6928781.78
77849,363997.6,6928781.95
77848,363943.21,6928729.92
77848,363956.29,6928749.09
77847,363956.29,6928749.09
77847,363954.91,6928759.49
77847,363955.14,6928765.1
77847,363955.54,6928765.47
77846,363955.54,6928765.47
77846,363967.58,6928773.55
77846,363977.88,6928779.72
77846,363984.03,6928779.41
77846,363984.55,6928779.42
77846,363993.7,6928780.03
77846,363993.91,6928780.13
77846,363994.2,6928780.18
77846,363995.06,6928779.73
77846,363995.35,6928779.69
77846,363995.52,6928779.53
77846,363995.99,6928778.98
77818,364122.6,6928387.71
77818,364120.89,6928379.39
77818,364118.81,6928378.12
77818,364118.39,6928377.97
77657,364118.39,6928377.97
77657,364112.32,6928376.2
77657,364106.17,6928375.37
77657,364094.06,6928376.75
77657,364088.23,6928379.42
77645,364088.23,6928379.42
77645,364074.75,6928386.21
77645,364069.08,6928389.27
77645,364058.02,6928394.61
77645,364052.2,6928397.31
77645,364042.54,6928402.13
77645,364041.24,6928402.7
77645,364040.92,6928402.72
77645,364033.87,6928400.49
77506,364101.22,6928178.87
77506,364062.92,6928189.87
77506,364061.27,6928190.39
77506,364060.04,6928189.43
77505,364100.86,6928178.54
77505,364064.34,6928188.9
77505,364061.56,6928187.87
77502,364148.87,6928162.29
77502,364100.86,6928178.54
77499,364150.07,6928162.55
77499,364144.21,6928164.53
77499,364142.96,6928164.94
77499,364122.66,6928171.72
77499,364101.22,6928178.87
65524,362884.19,6928461.39
65524,362890.3,6928473.71
55447,364097.2,6928722.9
55447,364116.66,6928706.26
55418,364321.79,6928507.92
55418,364330.09,6928523.05
55415,364330.09,6928523.05
55415,364335.31,6928530.11
55412,364335.31,6928530.11
55412,364353.06,6928569.05
55388,364353.06,6928569.05
55388,364358.2,6928605.68
55382,364358.2,6928605.68
55382,364320.66,6928627.4
55380,364320.66,6928627.4
55380,364300.36,6928633.22
55380,364274.94,6928636.79
55378,364236.27,6928634.07
55378,364274.94,6928636.79
55377,364136.1,6928376.75
55377,364116.06,6928330.06
55376,364157.29,6928433.75
55376,364142.37,6928391.23
55376,364136.1,6928376.75
55375,364135.47,6928377
55375,364115.39,6928330.4
55371,364236.27,6928634.07
55371,364177.71,6928630.28
55369,364167.23,6928472.04
55369,364157.29,6928433.75
55366,364186.52,6928582.54
55366,364152.54,6928600.77
55365,364177.71,6928630.28
55365,364152.54,6928600.77
55364,364152.54,6928600.77
55364,364140.7,6928601.79
55356,364132.24,6928561.87
55356,364129.9,6928573.24
55352,363991.61,6928586.95
55352,364032.81,6928624.26
55351,364032.81,6928624.26
55351,364038.13,6928629.14
55350,363948.61,6928571.21
55350,363989.56,6928593.81
55349,363989.56,6928593.81
55349,364030.66,6928623.59
55349,364032.81,6928624.26
55345,364038.13,6928629.14
55345,364058.04,6928648.44
55343,364058.04,6928648.44
55343,364077.37,6928665
55341,364085.32,6928654.44
55341,364085.34,6928655.82
55341,364085.35,6928656.04
55341,364093.22,6928673.15
55340,364081.38,6928659.81
55340,364085.32,6928654.44
55336,364062.05,6928535.53
55336,364067.23,6928541.77
55336,364110.93,6928601.72
55335,364129.9,6928573.24
55335,364124.71,6928580.27
55335,364110.93,6928601.72
55334,364140.7,6928601.79
55334,364110.93,6928601.72
55333,364085.32,6928654.44
55333,364102.04,6928619.85
55333,364110.93,6928601.72
55331,364062.05,6928535.53
55331,364002.66,6928490.19
55328,364048.35,6928432.29
55328,364040.71,6928414.97
55327,364095.62,6928459
55327,364095,6928458.01
55327,364073.05,6928421.09
55325,364040.71,6928414.97
55325,364033.87,6928400.49
55324,364023.93,6928380.97
55324,364021.58,6928379.97
55323,364033.87,6928400.49
55323,364023.93,6928380.97
55322,364021.79,6928375.99
55322,364021.58,6928379.97
55321,364017.6,6928367.14
55321,364021.79,6928375.99
55320,364009.08,6928351.98
55320,364017.6,6928367.14
55319,364002.96,6928338.96
55319,364009.08,6928351.98
55318,363994.63,6928318.06
55318,364002.96,6928338.96
55317,364021.58,6928379.97
55317,364011.32,6928385.33
55316,364011.32,6928385.33
55316,364018.72,6928400.1
55315,363994.81,6928417.77
55315,363971.21,6928435.82
55314,364018.72,6928400.1
55314,363994.81,6928417.77
55312,364116.06,6928330.06
55312,364069.9,6928225.24
55312,364059.08,6928193.68
55312,364061.56,6928187.87
55308,364069.18,6928225.5
55308,364058.29,6928193.39
55308,364060.04,6928189.43
55307,364115.39,6928330.4
55307,364069.18,6928225.5
55306,364061.33,6928191.83
55306,364072.69,6928226.68
55305,364072.69,6928226.68
55305,364022.37,6928236.17
55304,364022.37,6928236.17
55304,363971.48,6928249.19
55298,363960.94,6928196.85
55298,363967.29,6928217
55298,363971.48,6928249.19
54900,363624.25,6928118.58
54900,363627.55,6928167.91
54899,363626.99,6928167.46
54899,363621.76,6928118.63
54890,363910.75,6928371.28
54890,363893.81,6928379.98
54887,363750.5,6928695.07
54887,363765.63,6928645.77
54885,363749.43,6928695.48
54885,363764.89,6928644.01
54466,363673.75,6928136.48
54466,363665.79,6928111.81
54463,363499.63,6928131.87
54463,363542.7,6928107.49
54462,363624.25,6928118.58
54462,363620.6,6928101.95
54460,363542.7,6928107.49
54460,363596.41,6928082.53
54459,363621.76,6928118.63
54459,363596.41,6928082.53
54458,363586.02,6928045.93
54458,363598.03,6928039.271
54456,363586.02,6928045.93
54456,363584.92,6928044.52
54456,363585.61,6928042.26
54456,363585.45,6928040.66
54456,363583.5,6928022.52
54455,363594.12,6928044.31
54455,363598.03,6928039.271
54454,363593.89,6928047.66
54454,363594.12,6928044.31
54453,363601.82,6928057.72
54453,363595.13,6928050.82
54452,363595.13,6928050.82
54452,363586.02,6928045.93
54451,363595.13,6928050.82
54451,363593.89,6928047.66
54447,363596.41,6928082.53
54447,363590.24,6928072.95
54447,363592.33,6928064.86
54446,363602.57,6928041.36
54446,363598.51,6928038.6
