LSID,FCODE,DIM,LENGTH,FROM_PSID,TO_PSID,Roughness
99722,OV,0.2,45.77,99825,99709,0.020187847
99721,OV,0.16,45.39,99824,99710,0.020187847
99659,OV,0.16,21.18,97453,99710,0.020187847
99658,OV,0.2,20.49,97454,99709,0.020187847
99513,AF,0.4,93.36,54235,54224,0.021837564
98481,AF,0.11,17.21591511,98473,98283,0.021467948
77850,OV,0.4,16.08,77825,77828,0.021098332
77849,OV,0.4,46.87,77828,160419,0.021098332
77848,OV,0.25,23.21,54706,77824,0.021040023
77847,OV,0.25,16.65,77824,77827,0.020981714
77846,OV,0.25,45.1,77827,160428,0.020923405
77818,OV,0.11,11.38,77615,77601,0.020865096
77657,OV,0.2,31.13,77601,77600,0.020865096
77645,OV,0.2,60.16,77600,77602,0.020865096
77506,OV,0.2,43.14,77323,54921,0.020947969
77505,OV,0.2,40.93,77324,54926,0.020947969
77502,OV,0.2,50.69,77321,77324,0.020947969
77499,OV,0.2,51.5,77322,77323,0.020947969
65524,OV,0.25,51.41,65135,65460,0.023549279
55447,OV,0.2,25.6,55066,Node_56,0.0233822
55418,OV,0.2,17.26,55038,55035,0.023215121
55415,OV,0.2,8.78,55035,55030,0.023048042
55412,OV,0.2,42.79,55030,55027,0.022880963
55388,OV,0.2,36.99,55027,54999,0.022713884
55382,OV,0.3,43.37,54999,54996,0.022546806
55380,OV,0.3,46.79,54996,54993,0.022379727
55378,OV,0.3,38.68,54992,54993,0.022212648
55377,OV,0.2,50.81,54990,55182,0.022045569
55376,OV,0.2,60.84,54991,54990,0.02187849
55375,OV,0.2,50.74,54989,55181,0.021711411
55371,OV,0.3,58.77,54992,54984,0.022061775
55369,OV,0.2,39.56,54980,54991,0.022412139
55366,OV,0.2,38.56,54974,54973,0.022762504
55365,OV,0.3,38.79,54984,54973,0.023112868
55364,AF,0.3,11.88,54973,54972,0.023463232
55356,AF,0.125,11.61,54967,54966,0.023704379
55352,AF,0.225,55.58,55185,54961,0.023945526
55351,AF,0.23,7.23,54961,54962,0.024186673
55350,OV,0.15,46.7724545,54963,54960,0.023463232
55349,OV,0.15,53.00686239,54960,54961,0.023463232
55345,OV,0.225,27.72,54962,54957,0.023463232
55343,OV,0.225,25.45,54957,54955,0.023463232
55341,AF,0.375,20.43356087,159996,54956,0.024749715
55340,AF,0.6,6.66,78182,159996,0.023463232
55336,AF,0.45,82.3,161774,54948,0.018339818
55335,AF,0.3,34.23,54966,54948,0.024614898
